user_id,group,impression,click,purchase
1,A,1,0,0
2,B,1,0,0
3,B,1,0,0
4,B,1,0,0
5,A,1,0,0
6,A,1,0,0
7,A,1,0,0
8,B,1,0,0
9,B,1,0,0
10,B,1,0,0
11,A,1,0,0
12,B,1,0,0
13,B,1,0,0
14,A,1,0,0
15,A,1,0,0
16,A,1,0,0
17,A,1,0,0
18,B,1,0,0
19,A,1,0,0
20,A,1,0,0
21,B,1,0,0
22,A,1,0,0
23,A,1,0,0
24,A,1,0,0
25,A,1,0,0
26,B,1,0,0
27,A,1,0,0
28,B,1,0,0
29,B,1,0,0
30,A,1,0,0
31,B,1,0,0
32,A,1,0,0
33,A,1,0,0
34,B,1,0,0
35,B,1,0,0
36,B,1,0,0
37,A,1,0,0
38,A,1,0,0
39,B,1,0,0
40,A,1,0,0
41,A,1,0,0
42,A,1,0,0
43,A,1,0,0
44,B,1,0,0
45,A,1,0,0
46,B,1,0,0
47,A,1,0,0
48,B,1,0,0
49,B,1,0,0
50,A,1,0,0
51,B,1,1,0
52,B,1,0,0
53,B,1,0,0
54,B,1,0,0
55,B,1,0,0
56,B,1,0,0
57,A,1,0,0
58,A,1,0,0
59,A,1,0,0
60,A,1,0,0
61,A,1,1,1
62,A,1,0,0
63,B,1,0,0
64,A,1,0,0
65,A,1,0,0
66,B,1,0,0
67,A,1,0,0
68,B,1,0,0
69,A,1,1,0
70,B,1,0,0
71,B,1,0,0
72,A,1,1,0
73,A,1,0,0
74,B,1,0,0
75,B,1,1,0
76,B,1,0,0
77,B,1,0,0
78,A,1,0,0
79,A,1,0,0
80,A,1,0,0
81,B,1,0,0
82,B,1,0,0
83,A,1,0,0
84,A,1,0,0
85,A,1,0,0
86,A,1,0,0
87,B,1,0,0
88,B,1,0,0
89,B,1,0,0
90,A,1,0,0
91,A,1,0,0
92,B,1,0,0
93,B,1,0,0
94,B,1,0,0
95,B,1,0,0
96,A,1,0,0
97,B,1,0,0
98,A,1,1,0
99,A,1,0,0
100,A,1,0,0
101,A,1,0,0
102,B,1,0,0
103,A,1,0,0
104,B,1,0,0
105,B,1,0,0
106,A,1,0,0
107,A,1,0,0
108,B,1,0,0
109,A,1,0,0
110,A,1,0,0
111,A,1,0,0
112,A,1,0,0
113,B,1,0,0
114,B,1,0,0
115,B,1,0,0
116,B,1,0,0
117,B,1,0,0
118,A,1,0,0
119,B,1,0,0
120,B,1,0,0
121,B,1,0,0
122,B,1,0,0
123,A,1,0,0
124,A,1,0,0
125,A,1,0,0
126,A,1,0,0
127,B,1,0,0
128,B,1,0,0
129,A,1,0,0
130,B,1,0,0
131,A,1,0,0
132,A,1,0,0
133,A,1,0,0
134,A,1,0,0
135,B,1,0,0
136,A,1,0,0
137,B,1,0,0
138,B,1,0,0
139,A,1,0,0
140,B,1,0,0
141,B,1,1,0
142,A,1,0,0
143,A,1,0,0
144,A,1,0,0
145,A,1,0,0
146,A,1,0,0
147,B,1,0,0
148,B,1,0,0
149,A,1,0,0
150,A,1,0,0
151,B,1,0,0
152,A,1,0,0
153,A,1,0,0
154,A,1,0,0
155,B,1,0,0
156,A,1,0,0
157,B,1,0,0
158,B,1,0,0
159,A,1,0,0
160,B,1,0,0
161,A,1,0,0
162,B,1,0,0
163,B,1,0,0
164,B,1,0,0
165,A,1,0,0
166,B,1,0,0
167,A,1,0,0
168,A,1,0,0
169,A,1,0,0
170,B,1,0,0
171,B,1,0,0
172,A,1,0,0
173,B,1,1,0
174,A,1,0,0
175,B,1,0,0
176,A,1,0,0
177,B,1,0,0
178,A,1,0,0
179,B,1,0,0
180,A,1,0,0
181,A,1,0,0
182,A,1,0,0
183,B,1,0,0
184,B,1,0,0
185,A,1,0,0
186,B,1,0,0
187,B,1,0,0
188,B,1,0,0
189,B,1,0,0
190,A,1,0,0
191,A,1,0,0
192,B,1,0,0
193,B,1,0,0
194,B,1,0,0
195,A,1,0,0
196,A,1,0,0
197,B,1,0,0
198,B,1,0,0
199,B,1,0,0
200,B,1,0,0
201,B,1,0,0
202,A,1,0,0
203,A,1,1,0
204,B,1,0,0
205,B,1,0,0
206,A,1,0,0
207,A,1,0,0
208,B,1,0,0
209,A,1,0,0
210,A,1,0,0
211,B,1,0,0
212,B,1,0,0
213,B,1,0,0
214,A,1,0,0
215,B,1,0,0
216,A,1,0,0
217,A,1,0,0
218,B,1,0,0
219,B,1,0,0
220,B,1,0,0
221,B,1,0,0
222,B,1,0,0
223,A,1,0,0
224,A,1,0,0
225,A,1,0,0
226,A,1,0,0
227,B,1,0,0
228,A,1,0,0
229,B,1,0,0
230,B,1,1,0
231,B,1,0,0
232,B,1,0,0
233,B,1,0,0
234,A,1,0,0
235,A,1,0,0
236,B,1,0,0
237,A,1,0,0
238,A,1,0,0
239,B,1,0,0
240,A,1,1,0
241,B,1,0,0
242,B,1,0,0
243,B,1,0,0
244,A,1,0,0
245,A,1,0,0
246,B,1,0,0
247,A,1,0,0
248,B,1,0,0
249,B,1,0,0
250,B,1,0,0
251,A,1,0,0
252,A,1,0,0
253,B,1,0,0
254,A,1,0,0
255,A,1,0,0
256,B,1,0,0
257,B,1,0,0
258,B,1,0,0
259,B,1,0,0
260,A,1,0,0
261,B,1,0,0
262,B,1,0,0
263,A,1,0,0
264,B,1,0,0
265,B,1,0,0
266,B,1,0,0
267,B,1,0,0
268,B,1,0,0
269,A,1,0,0
270,A,1,0,0
271,B,1,0,0
272,B,1,0,0
273,B,1,0,0
274,B,1,0,0
275,B,1,0,0
276,B,1,0,0
277,B,1,0,0
278,B,1,0,0
279,B,1,0,0
280,B,1,0,0
281,B,1,0,0
282,A,1,0,0
283,A,1,0,0
284,A,1,0,0
285,B,1,0,0
286,A,1,0,0
287,A,1,0,0
288,B,1,0,0
289,A,1,0,0
290,B,1,0,0
291,A,1,1,1
292,A,1,0,0
293,B,1,0,0
294,A,1,0,0
295,A,1,0,0
296,B,1,0,0
297,B,1,0,0
298,A,1,0,0
299,B,1,0,0
300,A,1,0,0
301,A,1,0,0
302,B,1,0,0
303,B,1,0,0
304,B,1,1,0
305,B,1,0,0
306,B,1,0,0
307,B,1,0,0
308,A,1,0,0
309,B,1,0,0
310,A,1,0,0
311,A,1,0,0
312,A,1,0,0
313,A,1,0,0
314,B,1,0,0
315,B,1,0,0
316,B,1,0,0
317,A,1,0,0
318,A,1,0,0
319,A,1,0,0
320,A,1,0,0
